folio	codigo	descripcion	marca	cantidad	precio	categoria
2868	80264	PAL JUMBO PINTACOLORES 24/25 DLR	DLR	2	28.52	PRODUCTOS DE CONFITERIA
2868	90094	BOMBON BIANCHI FLOR 15/400 DLR	DLR	4	51.6	PRODUCTOS DE CONFITERIA
2868	90092	BOMBON BIANCHI CORAZON 15/400 DLR	DLR	2	25.8	PRODUCTOS DE CONFITERIA
2868	80463	PAL MANITA 16GR 24/40 VERO	VERO	1	21.223	PRODUCTOS DE CONFITERIA
2869	50010	CHOCORETAS 6/KG RICOLINO	RICOLINO	2	58.95	CHOCOLATES Y DEMAS PROD DERIVADOS CACAO
2869	90017	BOMBON MINI MINI 4/30/28GR DLR	DLR	5	33.005	PRODUCTOS DE CONFITERIA
2869	90082	BOMBON GIGANTE 15/400GR DLR	DLR	10	123	PRODUCTOS DE CONFITERIA
2869	90083	BOMBON MEDIANO 15/400GR DLR	DLR	5	64.5	PRODUCTOS DE CONFITERIA
2869	90087	BOMBON SUPER GTE BCO/ROSA C/5 DLR	DLR	5	15.74	PRODUCTOS DE CONFITERIA
2869	90043	BOMBON SUPER GTE COLORES C/5 DLR	DLR	5	70.6	PRODUCTOS DE CONFITERIA
2869	90002	BOMBON MINI MINI 5/50/15GR DLR	DLR	10	100.44	PRODUCTOS DE CONFITERIA
2869	50273	CAR MILKARAMEL CAFE 24/100 DLR	DLR	2	0.972	PRODUCTOS DE CONFITERIA
2869	50138	CAR MILKARAMEL SDO 24/100 DLR	DLR	2	0.972	PRODUCTOS DE CONFITERIA
2869	50233	CAR MILKARAMEL FRESA 24/100 DLR	DLR	2	1.45	PRODUCTOS DE CONFITERIA
2869	50223	CAR LITO 24/100PZ DLR	DLR	2	0.92	PRODUCTOS DE CONFITERIA
2869	50222	CAR FRESITA 24/100PZ DLR	DLR	2	225.372	PRODUCTOS DE CONFITERIA
2869	50288	CAR PIÑA C/24.DLR	DLR	3	1.266	PRODUCTOS DE CONFITERIA
2869	20858	PALETA MALVABONY 16/40 DLR	DLR	3	78	PRODUCTOS DE CONFITERIA
2869	120013	MAZAPAN GRANDE 20/30/28GR DLR	DLR	1	1.046	PRODUCTOS DE CONFITERIA
2869	120014	MAZAPAN CHICO 25/60/12.5GR DLR	DLR	1	0.64	PRODUCTOS DE CONFITERIA
2869	80016	PAL MINI JUMBO SDA 25/50PZ DLR	DLR	1	0.463	PRODUCTOS DE CONFITERIA
2869	80288	PAL MINI CHUPETA 25/50 DLR	DLR	1	10.095	PRODUCTOS DE CONFITERIA
2869	80264	PAL JUMBO PINTACOLORES 24/25 DLR	DLR	2	28.52	PRODUCTOS DE CONFITERIA
